"labelset","n","mean_distance","cluster_neuron"
"101000",1,1.21719296388105,"C1N1"
"011100",2,1.13423423098456,"C1N1"
"110000",13,1.02078084814405,"C1N1"
"001000",14,0.827448245117116,"C1N1"
"010000",7,0.631036129380115,"C1N1"
"111000",4,0.610143055722766,"C1N1"
"011000",25,0.220398336958833,"C1N1"
"001001",1,1.3525206799647,"C1N2"
"010001",2,1.24777950513926,"C1N2"
"100011",1,1.15878842692185,"C1N2"
"110001",2,1.05870033903351,"C1N2"
"100000",8,0.913218854477065,"C1N2"
"000001",24,0.376843241124986,"C1N2"
"100001",27,0.187764075019238,"C1N2"
"001101",1,1.54437400394363,"C2N3"
"000100",2,0.966994152613248,"C2N3"
"001100",10,0.598522267492457,"C2N3"
"000110",12,0.555495206229799,"C2N3"
"001110",22,0.187023321109008,"C2N3"
"100010",2,1.19958613556798,"C2N4"
"000011",4,0.840067808751969,"C2N4"
"001011",1,0.776025437654085,"C2N4"
"000010",4,0.355562338339237,"C2N4"
"001010",9,0.291519967241353,"C2N4"
