"dataset","fold","grid_neighborhood","grid_topology","grid_size_x","grid_size_y","rlen","radius","alpha1","alpha2","empty_neurons","qe_val"
"scene","fold2","bubble","hexagonal",3,3,500,7,0.1,0.005,2,0.0168472630822225
"scene","fold2","bubble","hexagonal",3,3,1000,7,0.1,0.005,1,0.0168472630822225
"scene","fold2","gaussian","hexagonal",3,3,1000,3,0.5,0.01,0,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,3,0.5,0.01,3,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,5,0.5,0.01,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,5,0.5,0.01,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,5,0.5,0.01,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,7,0.5,0.01,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,7,0.5,0.01,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,7,0.5,0.01,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,3,0.1,0.01,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,3,0.1,0.01,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,3,0.1,0.01,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,5,0.1,0.01,3,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,5,0.1,0.01,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,5,0.1,0.01,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,7,0.1,0.01,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,7,0.1,0.01,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,7,0.1,0.01,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,3,0.05,0.01,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,3,0.05,0.01,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,3,0.05,0.01,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,5,0.05,0.01,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,5,0.05,0.01,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,5,0.05,0.01,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,7,0.05,0.01,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,7,0.05,0.01,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,7,0.05,0.01,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,3,0.5,0.005,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,3,0.5,0.005,3,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,3,0.5,0.005,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,5,0.5,0.005,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,5,0.5,0.005,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,5,0.5,0.005,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,7,0.5,0.005,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,7,0.5,0.005,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,7,0.5,0.005,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,3,0.1,0.005,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,3,0.1,0.005,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,3,0.1,0.005,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,5,0.1,0.005,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,5,0.1,0.005,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,5,0.1,0.005,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,7,0.1,0.005,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,7,0.1,0.005,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,7,0.1,0.005,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,3,0.05,0.005,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,3,0.05,0.005,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,3,0.05,0.005,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,5,0.05,0.005,3,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,5,0.05,0.005,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,5,0.05,0.005,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,7,0.05,0.005,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,7,0.05,0.005,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,7,0.05,0.005,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,3,0.5,0.001,3,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,3,0.5,0.001,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,3,0.5,0.001,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,5,0.5,0.001,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,5,0.5,0.001,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,5,0.5,0.001,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,7,0.5,0.001,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,7,0.5,0.001,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,7,0.5,0.001,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,3,0.1,0.001,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,3,0.1,0.001,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,3,0.1,0.001,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,5,0.1,0.001,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,5,0.1,0.001,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,5,0.1,0.001,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,7,0.1,0.001,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,7,0.1,0.001,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,7,0.1,0.001,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,3,0.05,0.001,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,3,0.05,0.001,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,3,0.05,0.001,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,5,0.05,0.001,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,5,0.05,0.001,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,5,0.05,0.001,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,500,7,0.05,0.001,2,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1000,7,0.05,0.001,1,0.105580940340907
"scene","fold2","gaussian","hexagonal",3,3,1500,7,0.05,0.001,1,0.105580940340907
